 ID        u              v       
 174   0.0589092672  -0.4325525419
 175   0.0643259312  -0.5101046125
 176   0.0697426045  -0.5931468791
 177   0.0751592754  -0.6814832634
 178   0.0805759437  -0.7749176869
 179   0.0859926107  -0.8732540712
 180   0.0914092774  -0.9762963379
 181   0.0968259440  -1.0838484084
 182   0.1022426107  -1.1957142045
 183   0.1076592773  -1.3116976476
 184   0.1130759440  -1.4316026594
 185   0.1184926107  -1.5552331614
 186   0.1239092773  -1.6823930751
 187   0.1293259440  -1.8128863222
 188   0.1347426107  -1.9465168241
 189   0.1401592773  -2.0830885026
 190   0.1455759440  -2.2224052791
 191   0.1509926107  -2.3642710751
 192   0.1564092773  -2.5084898124
 193   0.1618259440  -2.6548654124
 194   0.1672426107  -2.8032017968
 195   0.1726592773  -2.9533028870
 196   0.1780759440  -3.1049726046
 197   0.1834926107  -3.2580148713
 198   0.1889092773  -3.4122336086
 199   0.1943259440  -3.5674327380
 200   0.1997426107  -3.7234161812
 201   0.2051592773  -3.8799878597
 202   0.2105759440  -4.0369516950
 203   0.2159926107  -4.1941116087
 204   0.2214092773  -4.3512715225
 205   0.2268259440  -4.5082353578
 206   0.2322426107  -4.6648070363
 207   0.2376592773  -4.8207904795
 208   0.2430759440  -4.9759896089
 209   0.2484926107  -5.1302083462
 210   0.2539092773  -5.2832506129
 211   0.2593259440  -5.4349203306
 212   0.2647426107  -5.5850214208
 213   0.2701592773  -5.7333578052
 214   0.2755759440  -5.8797334052
 215   0.2809926107  -6.0239521425
 216   0.2864092773  -6.1658179386
 217   0.2918259440  -6.3051347151
 218   0.2972426107  -6.4417063936
 219   0.3026592773  -6.5753368956
 220   0.3080759440  -6.7058301427
 221   0.3134926107  -6.8329900565
 222   0.3189092773  -6.9566205585
 223   0.3243259440  -7.0765255703
 224   0.3297426107  -7.1925090135
 225   0.3351592775  -7.3043748096
 226   0.3405759448  -7.4119268802
 227   0.3459926131  -7.5149691469
 228   0.3514092816  -7.6133055313
 229   0.3568259449  -7.7067399549
 230   0.3622425821  -7.7950763392
 231   0.3676591431  -7.8781186059
 232   0.3730755638  -7.9556706766
 233   0.3784919390  -8.0275364727
 234   0.3839091800  -8.0935199154
 235   0.3893306228  -8.1534249263
 236   0.3947641894  -8.2070554231
 237   0.4002197672  -8.2542154642
 238   0.4056811669  -8.2947095536
 239   0.4110009013  -8.3283440487
 240   0.4156509352  -8.3548877120
 241   0.4183995180  -8.3738119725
 242   0.4182319630  -8.3831186608
 243   0.4204433251  -8.3882679174
 244   0.0000000000   0.0000000000
 245   0.0112155355  -0.0050680847
 246   0.0245457913  -0.0179342575
 247   0.0374473896  -0.0372673917
 248   0.0500573804  -0.0637712154
 249   0.0624444920  -0.0973254493
 250   0.0746274983  -0.1377622566
 251   0.0866125399  -0.1848758061
 252   0.0984013787  -0.2384637133
 253   0.1099943276  -0.2983269273
 254   0.1213913253  -0.3642685603
 255   0.1325922947  -0.4360924313
 256   0.1435971983  -0.5136025116
 257   0.1544060242  -0.5966027649
 258   0.1650187705  -0.6848971310
 259   0.1754354375  -0.7782895364
 260   0.1856560258  -0.8765839033
 261   0.1956805356  -0.9795841530
 262   0.2055089670  -1.0870942067
 263   0.2151413199  -1.1989179860
 264   0.2245775944  -1.3148594123
 265   0.2338177905  -1.4347224073
 266   0.2428619081  -1.5583108925
 267   0.2517099474  -1.6854287894
 268   0.2603619081  -1.8158800196
 269   0.2688177905  -1.9494685048
 270   0.2770775944  -2.0859981664
 271   0.2851413199  -2.2252729261
 272   0.2930089670  -2.3670967054
 273   0.3006805356  -2.5112734259
 274   0.3081560258  -2.6576070091
 275   0.3154354376  -2.8059013766
 276   0.3225187709  -2.9559604500
 277   0.3294060258  -3.1075881509
 278   0.3360972023  -3.2605884007
 279   0.3425923003  -3.4147651212
 280   0.3488913199  -3.5699222338
 281   0.3549942611  -3.7258636602
 282   0.3609011239  -3.8823933219
 283   0.3666119082  -4.0393151404
 284   0.3721266141  -4.1964330373
 285   0.3774452415  -4.3535509343
 286   0.3825677905  -4.5104727528
 287   0.3874942611  -4.6670024144
 288   0.3922246533  -4.8229438408
 289   0.3967589670  -4.9781009534
 290   0.4010972023  -5.1322776739
 291   0.4052393592  -5.2852779238
 292   0.4091854376  -5.4369056247
 293   0.4129354376  -5.5869646981
 294   0.4164893592  -5.7352590657
 295   0.4198472023  -5.8815926489
 296   0.4230089670  -6.0257693694
 297   0.4259746533  -6.1675931487
 298   0.4287442611  -6.3068679084
 299   0.4313177905  -6.4433975701
 300   0.4336952415  -6.5769860553
 301   0.4358766141  -6.7074372856
 302   0.4378619082  -6.8345551825
 303   0.4396511239  -6.9581436677
 304   0.4412442611  -7.0780066627
 305   0.4426413199  -7.1939480892
 306   0.4438423004  -7.3057718687
 307   0.4448472025  -7.4132819230
 308   0.4456560265  -7.5162821732
 309   0.4462687724  -7.6145765386
 310   0.4466854391  -7.7079689336
 311   0.4469060215  -7.7962632650
 312   0.4469305051  -7.8792634436
 313   0.4467588641  -7.9567734547
 314   0.4463910941  -8.0285975870
 315   0.4458273721  -8.0945409106
 316   0.4450685202  -8.1544096661
 317   0.4441168507  -8.2080093752
 318   0.4429763377  -8.2551333612
 319   0.4416466458  -8.2955266753
 320   0.4400954542  -8.3288098370
 321   0.4381983605  -8.3544339388
 322   0.4358526469  -8.3719257211
 323   0.4341121806  -8.3829787648
 324   0.4340204412  -8.3939489971
 325   0.0000000000   0.0000000000
 326   0.0203873242  -0.0125771165
 327   0.0402664558  -0.0249197577
 328   0.0600240747  -0.0442642906
 329   0.0796429573  -0.0706315312
 330   0.0989531106  -0.1040628548
 331   0.1178979990  -0.1443710366
 332   0.1364547123  -0.1913574457
 333   0.1546183142  -0.2448188325
 334   0.1723886247  -0.3045558969
 335   0.1897662468  -0.3703714775
 336   0.2067515485  -0.4420693111
 337   0.2233446677  -0.5194533487
 338   0.2395456366  -0.6023275544
 339   0.2553544558  -0.6904958706
 340   0.2707711214  -0.7837622256
 341   0.2857956311  -0.8819305420
 342   0.3004279842  -0.9848047412
